Site,Language,currency,Pickup Location Code,Pickup Date,Pickup Time,Dropoff Location Code,Dropoff Date,Dropoff Time,driversAge,Request_id
AU,EN,AUD,SAW,2023-09-07,12:30,SAW,2023-09-28,12:30,,1357123
AU,EN,AUD,DEN,2023-09-05,11:30,DEN,2023-09-12,11:30,,1357124
AU,EN,AUD,DFW,2023-09-05,11:30,DFW,2023-09-12,11:30,,1357125
AU,EN,AUD,HNL,2023-09-05,11:30,HNL,2023-09-12,11:30,,1357126
AU,EN,AUD,JFK,2023-09-05,11:30,JFK,2023-09-12,11:30,,1357127
AU,EN,AUD,LAX,2023-08-30,12:30,LAX,2023-09-02,12:30,,1357128
AU,EN,AUD,LAX,2023-09-08,13:00,LAX,2023-09-15,13:00,,1357129
AU,EN,AUD,LAX,2023-09-12,15:00,LAX,2023-09-19,15:00,,1357130
AU,EN,AUD,MCO,2023-09-05,11:30,MCO,2023-09-12,11:30,,1357132
AU,EN,AUD,MCO,2023-09-08,13:00,MCO,2023-09-15,13:00,,1357133
AU,EN,AUD,MCO,2023-09-08,13:00,MCO,2023-09-22,13:00,,1357134
AU,EN,AUD,SFO,2023-09-05,11:30,SFO,2023-09-12,11:30,,1357135
AU,EN,AUD,SLC,2023-09-05,11:30,SLC,2023-09-12,11:30,,1357136
AU,EN,AUD,LAX,2023-09-08,13:00,LAX,2023-09-22,13:00,,1357131
AU,EN,AUD,CPT,2023-09-05,11:30,CPT,2023-09-12,11:30,,1357137
AU,EN,AUD,JNB,2023-09-05,11:30,JNB,2023-09-12,11:30,,1357138
